id,FOODS_3_090_TX_1_evaluation,event_name_1,wday,FOODS_3_318_TX_1_evaluation,event_name_1,wday,FOODS_3_586_TX_1_evaluation,event_name_1,wday,FOODS_3_090_TX_2_evaluation,event_name_1,wday,FOODS_3_252_TX_2_evaluation,event_name_1,wday,FOODS_3_318_TX_2_evaluation,event_name_1,wday,FOODS_3_555_TX_2_evaluation,event_name_1,wday,FOODS_3_586_TX_2_evaluation,event_name_1,wday,FOODS_3_587_TX_2_evaluation,event_name_1,wday,FOODS_2_360_TX_3_evaluation,event_name_1,wday,FOODS_3_090_TX_3_evaluation,event_name_1,wday,FOODS_3_252_TX_3_evaluation,event_name_1,wday,FOODS_3_318_TX_3_evaluation,event_name_1,wday,FOODS_3_555_TX_3_evaluation,event_name_1,wday,FOODS_3_586_TX_3_evaluation,event_name_1,wday,FOODS_3_587_TX_3_evaluation,event_name_1,wday
d_339,82,After event,3,24,After event,3,58,After event,3,142,After event,3,48,After event,3,11,After event,3,65,After event,3,100,After event,3,23,After event,3,48,After event,3,85,After event,3,32,After event,3,10,After event,3,45,After event,3,62,After event,3,15,After event,3
d_340,83,No event,4,21,No event,4,56,No event,4,83,No event,4,43,No event,4,8,No event,4,53,No event,4,99,No event,4,25,No event,4,41,No event,4,91,No event,4,36,No event,4,3,No event,4,36,No event,4,72,No event,4,18,No event,4
d_341,79,No event,5,17,No event,5,54,No event,5,74,No event,5,29,No event,5,20,No event,5,43,No event,5,83,No event,5,26,No event,5,22,No event,5,105,No event,5,49,No event,5,6,No event,5,48,No event,5,77,No event,5,12,No event,5
d_342,101,No event,6,23,No event,6,37,No event,6,76,No event,6,39,No event,6,9,No event,6,35,No event,6,102,No event,6,30,No event,6,58,No event,6,92,No event,6,43,No event,6,6,No event,6,43,No event,6,66,No event,6,24,No event,6
d_343,110,Before event,7,21,Before event,7,47,Before event,7,99,Before event,7,49,Before event,7,19,Before event,7,44,Before event,7,95,Before event,7,26,Before event,7,66,Before event,7,139,Before event,7,37,Before event,7,9,Before event,7,33,Before event,7,69,Before event,7,16,Before event,7
d_344,136,OrthodoxChristmas,1,31,OrthodoxChristmas,1,68,OrthodoxChristmas,1,187,OrthodoxChristmas,1,47,OrthodoxChristmas,1,31,OrthodoxChristmas,1,59,OrthodoxChristmas,1,147,OrthodoxChristmas,1,30,OrthodoxChristmas,1,55,OrthodoxChristmas,1,98,OrthodoxChristmas,1,53,OrthodoxChristmas,1,26,OrthodoxChristmas,1,57,OrthodoxChristmas,1,112,OrthodoxChristmas,1,21,OrthodoxChristmas,1
d_345,165,After event,2,37,After event,2,51,After event,2,107,After event,2,55,After event,2,15,After event,2,61,After event,2,129,After event,2,43,After event,2,24,After event,2,99,After event,2,39,After event,2,8,After event,2,52,After event,2,84,After event,2,17,After event,2
d_346,63,No event,3,15,No event,3,44,No event,3,72,No event,3,31,No event,3,9,No event,3,28,No event,3,61,No event,3,35,No event,3,29,No event,3,65,No event,3,30,No event,3,12,No event,3,22,No event,3,54,No event,3,18,No event,3
d_347,91,No event,4,19,No event,4,36,No event,4,164,No event,4,26,No event,4,3,No event,4,30,No event,4,86,No event,4,14,No event,4,26,No event,4,56,No event,4,21,No event,4,6,No event,4,36,No event,4,54,No event,4,27,No event,4
d_348,60,No event,5,19,No event,5,69,No event,5,85,No event,5,37,No event,5,3,No event,5,37,No event,5,105,No event,5,25,No event,5,68,No event,5,77,No event,5,28,No event,5,19,No event,5,30,No event,5,73,No event,5,19,No event,5
d_349,81,No event,6,22,No event,6,32,No event,6,60,No event,6,32,No event,6,2,No event,6,42,No event,6,98,No event,6,19,No event,6,47,No event,6,101,No event,6,24,No event,6,22,No event,6,35,No event,6,55,No event,6,11,No event,6
d_350,132,No event,7,16,No event,7,54,No event,7,109,No event,7,48,No event,7,7,No event,7,57,No event,7,101,No event,7,25,No event,7,66,No event,7,84,No event,7,31,No event,7,14,No event,7,41,No event,7,70,No event,7,24,No event,7
d_351,128,No event,1,29,No event,1,56,No event,1,176,No event,1,64,No event,1,12,No event,1,68,No event,1,140,No event,1,28,No event,1,42,No event,1,111,No event,1,41,No event,1,18,No event,1,50,No event,1,96,No event,1,13,No event,1
d_352,171,Before event,2,29,Before event,2,58,Before event,2,182,Before event,2,72,Before event,2,11,Before event,2,72,Before event,2,125,Before event,2,39,Before event,2,55,Before event,2,209,Before event,2,47,Before event,2,15,Before event,2,57,Before event,2,78,Before event,2,18,Before event,2
d_353,120,MartinLutherKingDay,3,25,MartinLutherKingDay,3,43,MartinLutherKingDay,3,90,MartinLutherKingDay,3,42,MartinLutherKingDay,3,8,MartinLutherKingDay,3,55,MartinLutherKingDay,3,112,MartinLutherKingDay,3,36,MartinLutherKingDay,3,46,MartinLutherKingDay,3,83,MartinLutherKingDay,3,31,MartinLutherKingDay,3,10,MartinLutherKingDay,3,38,MartinLutherKingDay,3,80,MartinLutherKingDay,3,20,MartinLutherKingDay,3
d_354,64,After event,4,25,After event,4,41,After event,4,83,After event,4,35,After event,4,8,After event,4,41,After event,4,97,After event,4,27,After event,4,33,After event,4,60,After event,4,43,After event,4,16,After event,4,39,After event,4,51,After event,4,13,After event,4
d_355,85,No event,5,11,No event,5,40,No event,5,54,No event,5,29,No event,5,2,No event,5,37,No event,5,68,No event,5,22,No event,5,49,No event,5,66,No event,5,30,No event,5,9,No event,5,39,No event,5,68,No event,5,17,No event,5
d_356,152,No event,6,27,No event,6,45,No event,6,76,No event,6,27,No event,6,9,No event,6,52,No event,6,89,No event,6,30,No event,6,45,No event,6,78,No event,6,20,No event,6,5,No event,6,43,No event,6,77,No event,6,15,No event,6
d_357,109,No event,7,14,No event,7,52,No event,7,115,No event,7,51,No event,7,20,No event,7,71,No event,7,94,No event,7,24,No event,7,10,No event,7,100,No event,7,46,No event,7,9,No event,7,44,No event,7,80,No event,7,9,No event,7
d_358,179,No event,1,29,No event,1,55,No event,1,145,No event,1,69,No event,1,6,No event,1,91,No event,1,149,No event,1,45,No event,1,13,No event,1,102,No event,1,54,No event,1,15,No event,1,40,No event,1,94,No event,1,15,No event,1
d_359,144,No event,2,29,No event,2,61,No event,2,108,No event,2,71,No event,2,11,No event,2,58,No event,2,140,No event,2,51,No event,2,21,No event,2,113,No event,2,41,No event,2,12,No event,2,62,No event,2,86,No event,2,12,No event,2
d_360,83,No event,3,25,No event,3,51,No event,3,87,No event,3,35,No event,3,10,No event,3,40,No event,3,102,No event,3,40,No event,3,27,No event,3,71,No event,3,42,No event,3,7,No event,3,28,No event,3,70,No event,3,11,No event,3
d_361,74,No event,4,12,No event,4,21,No event,4,74,No event,4,27,No event,4,8,No event,4,46,No event,4,78,No event,4,11,No event,4,22,No event,4,70,No event,4,29,No event,4,15,No event,4,24,No event,4,51,No event,4,14,No event,4
d_362,73,No event,5,16,No event,5,35,No event,5,148,No event,5,25,No event,5,13,No event,5,42,No event,5,78,No event,5,17,No event,5,17,No event,5,63,No event,5,22,No event,5,10,No event,5,30,No event,5,45,No event,5,15,No event,5
d_363,75,No event,6,19,No event,6,37,No event,6,81,No event,6,25,No event,6,7,No event,6,49,No event,6,79,No event,6,26,No event,6,31,No event,6,101,No event,6,35,No event,6,3,No event,6,31,No event,6,54,No event,6,24,No event,6
d_364,208,No event,7,16,No event,7,58,No event,7,115,No event,7,44,No event,7,6,No event,7,47,No event,7,107,No event,7,18,No event,7,32,No event,7,125,No event,7,53,No event,7,16,No event,7,47,No event,7,61,No event,7,4,No event,7
d_365,127,No event,1,29,No event,1,52,No event,1,141,No event,1,59,No event,1,9,No event,1,89,No event,1,122,No event,1,44,No event,1,48,No event,1,150,No event,1,47,No event,1,18,No event,1,57,No event,1,86,No event,1,16,No event,1
d_366,129,No event,2,34,No event,2,56,No event,2,95,No event,2,54,No event,2,11,No event,2,59,No event,2,134,No event,2,39,No event,2,48,No event,2,136,No event,2,39,No event,2,10,No event,2,60,No event,2,81,No event,2,16,No event,2
d_367,61,No event,3,8,No event,3,47,No event,3,113,No event,3,36,No event,3,14,No event,3,54,No event,3,75,No event,3,27,No event,3,12,No event,3,73,No event,3,33,No event,3,3,No event,3,37,No event,3,65,No event,3,12,No event,3
d_368,41,No event,4,7,No event,4,48,No event,4,65,No event,4,24,No event,4,5,No event,4,48,No event,4,95,No event,4,20,No event,4,17,No event,4,109,No event,4,41,No event,4,4,No event,4,34,No event,4,58,No event,4,11,No event,4
d_369,64,No event,5,3,No event,5,60,No event,5,95,No event,5,44,No event,5,1,No event,5,53,No event,5,108,No event,5,29,No event,5,27,No event,5,89,No event,5,49,No event,5,9,No event,5,54,No event,5,108,No event,5,22,No event,5
d_370,64,No event,6,6,No event,6,76,No event,6,70,No event,6,32,No event,6,10,No event,6,54,No event,6,91,No event,6,25,No event,6,36,No event,6,87,No event,6,26,No event,6,9,No event,6,35,No event,6,79,No event,6,7,No event,6
d_371,67,No event,7,4,No event,7,66,No event,7,111,No event,7,52,No event,7,14,No event,7,51,No event,7,97,No event,7,33,No event,7,34,No event,7,169,No event,7,40,No event,7,7,No event,7,42,No event,7,108,No event,7,9,No event,7
d_372,88,Before event,1,12,Before event,1,86,Before event,1,176,Before event,1,59,Before event,1,10,Before event,1,82,Before event,1,131,Before event,1,51,Before event,1,37,Before event,1,192,Before event,1,63,Before event,1,9,Before event,1,61,Before event,1,105,Before event,1,11,Before event,1
d_373,89,SuperBowl,2,8,SuperBowl,2,81,SuperBowl,2,186,SuperBowl,2,73,SuperBowl,2,15,SuperBowl,2,75,SuperBowl,2,150,SuperBowl,2,38,SuperBowl,2,61,SuperBowl,2,171,SuperBowl,2,44,SuperBowl,2,15,SuperBowl,2,56,SuperBowl,2,122,SuperBowl,2,32,SuperBowl,2
d_374,49,After event,3,7,After event,3,57,After event,3,128,After event,3,48,After event,3,24,After event,3,47,After event,3,99,After event,3,49,After event,3,28,After event,3,77,After event,3,49,After event,3,10,After event,3,42,After event,3,88,After event,3,17,After event,3
d_375,59,No event,4,7,No event,4,64,No event,4,97,No event,4,54,No event,4,8,No event,4,51,No event,4,105,No event,4,24,No event,4,17,No event,4,77,No event,4,40,No event,4,6,No event,4,23,No event,4,64,No event,4,9,No event,4
d_376,47,No event,5,9,No event,5,65,No event,5,86,No event,5,31,No event,5,7,No event,5,61,No event,5,102,No event,5,25,No event,5,57,No event,5,82,No event,5,34,No event,5,5,No event,5,44,No event,5,76,No event,5,12,No event,5
d_377,112,No event,6,5,No event,6,59,No event,6,129,No event,6,52,No event,6,4,No event,6,57,No event,6,107,No event,6,28,No event,6,36,No event,6,80,No event,6,46,No event,6,9,No event,6,52,No event,6,83,No event,6,13,No event,6
d_378,64,No event,7,15,No event,7,68,No event,7,145,No event,7,52,No event,7,41,No event,7,56,No event,7,123,No event,7,23,No event,7,38,No event,7,67,No event,7,41,No event,7,9,No event,7,35,No event,7,84,No event,7,15,No event,7
d_379,72,No event,1,20,No event,1,89,No event,1,217,No event,1,93,No event,1,20,No event,1,111,No event,1,162,No event,1,59,No event,1,37,No event,1,99,No event,1,41,No event,1,12,No event,1,65,No event,1,110,No event,1,38,No event,1
d_380,96,No event,2,9,No event,2,88,No event,2,175,No event,2,82,No event,2,16,No event,2,76,No event,2,125,No event,2,46,No event,2,44,No event,2,136,No event,2,73,No event,2,18,No event,2,65,No event,2,89,No event,2,36,No event,2
d_381,72,Before event,3,12,Before event,3,85,Before event,3,152,Before event,3,44,Before event,3,12,Before event,3,82,Before event,3,114,Before event,3,42,Before event,3,31,Before event,3,103,Before event,3,52,Before event,3,8,Before event,3,49,Before event,3,86,Before event,3,24,Before event,3
d_382,70,ValentinesDay,4,6,ValentinesDay,4,81,ValentinesDay,4,151,ValentinesDay,4,51,ValentinesDay,4,4,ValentinesDay,4,58,ValentinesDay,4,117,ValentinesDay,4,25,ValentinesDay,4,27,ValentinesDay,4,69,ValentinesDay,4,49,ValentinesDay,4,6,ValentinesDay,4,58,ValentinesDay,4,86,ValentinesDay,4,20,ValentinesDay,4
d_383,57,After event,5,5,After event,5,61,After event,5,203,After event,5,65,After event,5,3,After event,5,62,After event,5,67,After event,5,25,After event,5,14,After event,5,61,After event,5,31,After event,5,13,After event,5,15,After event,5,25,After event,5,26,After event,5
d_384,12,No event,6,16,No event,6,20,No event,6,10,No event,6,52,No event,6,6,No event,6,7,No event,6,0,No event,6,29,No event,6,16,No event,6,66,No event,6,46,No event,6,11,No event,6,51,No event,6,0,No event,6,18,No event,6
d_385,0,No event,7,9,No event,7,0,No event,7,0,No event,7,58,No event,7,5,No event,7,0,No event,7,0,No event,7,33,No event,7,46,No event,7,110,No event,7,29,No event,7,7,No event,7,40,No event,7,0,No event,7,18,No event,7
d_386,67,No event,1,2,No event,1,75,No event,1,113,No event,1,66,No event,1,11,No event,1,74,No event,1,149,No event,1,39,No event,1,34,No event,1,164,No event,1,46,No event,1,20,No event,1,73,No event,1,112,No event,1,30,No event,1
d_387,165,Before event,2,3,Before event,2,74,Before event,2,118,Before event,2,68,Before event,2,9,Before event,2,81,Before event,2,171,Before event,2,40,Before event,2,16,Before event,2,126,Before event,2,64,Before event,2,21,Before event,2,73,Before event,2,116,Before event,2,37,Before event,2
d_388,47,PresidentsDay,3,10,PresidentsDay,3,65,PresidentsDay,3,79,PresidentsDay,3,52,PresidentsDay,3,15,PresidentsDay,3,44,PresidentsDay,3,94,PresidentsDay,3,36,PresidentsDay,3,42,PresidentsDay,3,111,PresidentsDay,3,50,PresidentsDay,3,3,PresidentsDay,3,52,PresidentsDay,3,94,PresidentsDay,3,36,PresidentsDay,3
d_389,73,Before event,4,3,Before event,4,58,Before event,4,109,Before event,4,53,Before event,4,3,Before event,4,56,Before event,4,88,Before event,4,22,Before event,4,25,Before event,4,67,Before event,4,30,Before event,4,1,Before event,4,12,Before event,4,63,Before event,4,28,Before event,4
d_390,42,LentStart,5,0,LentStart,5,54,LentStart,5,78,LentStart,5,43,LentStart,5,0,LentStart,5,52,LentStart,5,86,LentStart,5,23,LentStart,5,44,LentStart,5,0,LentStart,5,48,LentStart,5,0,LentStart,5,0,LentStart,5,76,LentStart,5,13,LentStart,5
d_391,111,After event,6,10,After event,6,61,After event,6,81,After event,6,62,After event,6,0,After event,6,72,After event,6,114,After event,6,31,After event,6,18,After event,6,0,After event,6,46,After event,6,0,After event,6,0,After event,6,81,After event,6,20,After event,6
d_392,53,No event,7,0,No event,7,50,No event,7,170,No event,7,60,No event,7,0,No event,7,54,No event,7,87,No event,7,24,No event,7,29,No event,7,0,No event,7,34,No event,7,0,No event,7,0,No event,7,64,No event,7,10,No event,7
d_393,85,No event,1,10,No event,1,79,No event,1,125,No event,1,84,No event,1,6,No event,1,76,No event,1,139,No event,1,29,No event,1,28,No event,1,131,No event,1,51,No event,1,7,No event,1,56,No event,1,89,No event,1,15,No event,1
d_394,52,No event,2,6,No event,2,84,No event,2,102,No event,2,54,No event,2,14,No event,2,71,No event,2,127,No event,2,33,No event,2,67,No event,2,119,No event,2,59,No event,2,19,No event,2,76,No event,2,95,No event,2,19,No event,2
d_395,28,No event,3,5,No event,3,54,No event,3,76,No event,3,31,No event,3,7,No event,3,52,No event,3,120,No event,3,40,No event,3,8,No event,3,111,No event,3,50,No event,3,5,No event,3,48,No event,3,79,No event,3,12,No event,3
d_396,48,Before event,4,7,Before event,4,60,Before event,4,74,Before event,4,40,Before event,4,6,Before event,4,53,Before event,4,89,Before event,4,23,Before event,4,22,Before event,4,56,Before event,4,45,Before event,4,6,Before event,4,33,Before event,4,64,Before event,4,6,Before event,4
d_397,112,LentWeek2,5,4,LentWeek2,5,54,LentWeek2,5,80,LentWeek2,5,37,LentWeek2,5,4,LentWeek2,5,47,LentWeek2,5,87,LentWeek2,5,27,LentWeek2,5,29,LentWeek2,5,81,LentWeek2,5,41,LentWeek2,5,4,LentWeek2,5,27,LentWeek2,5,80,LentWeek2,5,1,LentWeek2,5
d_398,47,After event,6,3,After event,6,57,After event,6,153,After event,6,58,After event,6,5,After event,6,84,After event,6,121,After event,6,32,After event,6,20,After event,6,87,After event,6,42,After event,6,4,After event,6,41,After event,6,88,After event,6,0,After event,6
d_399,76,No event,7,13,No event,7,63,No event,7,106,No event,7,67,No event,7,7,No event,7,69,No event,7,111,No event,7,38,No event,7,30,No event,7,70,No event,7,54,No event,7,3,No event,7,54,No event,7,96,No event,7,7,No event,7
d_400,68,No event,1,3,No event,1,61,No event,1,88,No event,1,106,No event,1,9,No event,1,89,No event,1,125,No event,1,32,No event,1,41,No event,1,117,No event,1,65,No event,1,14,No event,1,77,No event,1,93,No event,1,15,No event,1
d_401,135,No event,2,6,No event,2,66,No event,2,121,No event,2,64,No event,2,6,No event,2,85,No event,2,120,No event,2,36,No event,2,45,No event,2,113,No event,2,69,No event,2,5,No event,2,61,No event,2,95,No event,2,8,No event,2
d_402,170,No event,3,1,No event,3,54,No event,3,120,No event,3,61,No event,3,14,No event,3,74,No event,3,108,No event,3,41,No event,3,53,No event,3,87,No event,3,47,No event,3,8,No event,3,44,No event,3,73,No event,3,0,No event,3
d_403,71,No event,4,10,No event,4,57,No event,4,79,No event,4,50,No event,4,2,No event,4,51,No event,4,113,No event,4,35,No event,4,28,No event,4,63,No event,4,43,No event,4,10,No event,4,52,No event,4,74,No event,4,0,No event,4
d_404,49,Before event,5,6,Before event,5,45,Before event,5,72,Before event,5,51,Before event,5,4,Before event,5,42,Before event,5,95,Before event,5,32,Before event,5,47,Before event,5,81,Before event,5,51,Before event,5,12,Before event,5,35,Before event,5,69,Before event,5,0,Before event,5
d_405,96,Purim End,6,2,Purim End,6,52,Purim End,6,100,Purim End,6,48,Purim End,6,4,Purim End,6,60,Purim End,6,90,Purim End,6,30,Purim End,6,29,Purim End,6,101,Purim End,6,38,Purim End,6,12,Purim End,6,47,Purim End,6,79,Purim End,6,0,Purim End,6
d_406,101,After event,7,8,After event,7,49,After event,7,118,After event,7,31,After event,7,9,After event,7,30,After event,7,99,After event,7,18,After event,7,58,After event,7,97,After event,7,29,After event,7,6,After event,7,27,After event,7,66,After event,7,26,After event,7
d_407,93,No event,1,13,No event,1,74,No event,1,119,No event,1,70,No event,1,4,No event,1,49,No event,1,148,No event,1,49,No event,1,46,No event,1,93,No event,1,29,No event,1,11,No event,1,57,No event,1,94,No event,1,40,No event,1
d_408,129,No event,2,5,No event,2,68,No event,2,117,No event,2,60,No event,2,7,No event,2,61,No event,2,104,No event,2,52,No event,2,39,No event,2,90,No event,2,48,No event,2,4,No event,2,40,No event,2,84,No event,2,49,No event,2
d_409,92,No event,3,8,No event,3,57,No event,3,62,No event,3,53,No event,3,3,No event,3,68,No event,3,137,No event,3,39,No event,3,36,No event,3,84,No event,3,48,No event,3,7,No event,3,59,No event,3,75,No event,3,30,No event,3
d_410,73,No event,4,6,No event,4,71,No event,4,88,No event,4,61,No event,4,4,No event,4,80,No event,4,109,No event,4,34,No event,4,56,No event,4,88,No event,4,49,No event,4,8,No event,4,32,No event,4,78,No event,4,36,No event,4
d_411,55,No event,5,8,No event,5,52,No event,5,88,No event,5,62,No event,5,6,No event,5,67,No event,5,117,No event,5,18,No event,5,24,No event,5,77,No event,5,53,No event,5,7,No event,5,65,No event,5,87,No event,5,29,No event,5
d_412,70,No event,6,7,No event,6,60,No event,6,136,No event,6,67,No event,6,3,No event,6,55,No event,6,117,No event,6,37,No event,6,57,No event,6,77,No event,6,38,No event,6,9,No event,6,41,No event,6,89,No event,6,28,No event,6
d_413,95,Before event,7,8,Before event,7,64,Before event,7,144,Before event,7,81,Before event,7,15,Before event,7,93,Before event,7,151,Before event,7,19,Before event,7,14,Before event,7,87,Before event,7,62,Before event,7,4,Before event,7,66,Before event,7,81,Before event,7,26,Before event,7
d_414,72,StPatricksDay,1,8,StPatricksDay,1,59,StPatricksDay,1,114,StPatricksDay,1,95,StPatricksDay,1,7,StPatricksDay,1,102,StPatricksDay,1,165,StPatricksDay,1,26,StPatricksDay,1,13,StPatricksDay,1,114,StPatricksDay,1,43,StPatricksDay,1,10,StPatricksDay,1,47,StPatricksDay,1,100,StPatricksDay,1,35,StPatricksDay,1
d_415,0,After event,2,0,After event,2,62,After event,2,111,After event,2,91,After event,2,8,After event,2,63,After event,2,138,After event,2,32,After event,2,52,After event,2,76,After event,2,73,After event,2,12,After event,2,62,After event,2,109,After event,2,25,After event,2
d_416,41,No event,3,0,No event,3,67,No event,3,84,No event,3,52,No event,3,3,No event,3,58,No event,3,96,No event,3,49,No event,3,41,No event,3,87,No event,3,33,No event,3,14,No event,3,36,No event,3,84,No event,3,54,No event,3
d_417,49,No event,4,5,No event,4,28,No event,4,75,No event,4,43,No event,4,2,No event,4,50,No event,4,79,No event,4,28,No event,4,13,No event,4,86,No event,4,32,No event,4,10,No event,4,38,No event,4,57,No event,4,38,No event,4
d_418,57,No event,5,6,No event,5,45,No event,5,100,No event,5,38,No event,5,2,No event,5,53,No event,5,79,No event,5,17,No event,5,29,No event,5,52,No event,5,36,No event,5,1,No event,5,26,No event,5,70,No event,5,21,No event,5
d_419,32,No event,6,2,No event,6,64,No event,6,72,No event,6,57,No event,6,10,No event,6,47,No event,6,67,No event,6,25,No event,6,62,No event,6,49,No event,6,48,No event,6,4,No event,6,39,No event,6,82,No event,6,23,No event,6
d_420,34,No event,7,1,No event,7,61,No event,7,102,No event,7,81,No event,7,8,No event,7,62,No event,7,105,No event,7,27,No event,7,9,No event,7,70,No event,7,59,No event,7,7,No event,7,48,No event,7,73,No event,7,26,No event,7
d_421,90,No event,1,6,No event,1,83,No event,1,170,No event,1,75,No event,1,5,No event,1,74,No event,1,140,No event,1,19,No event,1,0,No event,1,82,No event,1,81,No event,1,6,No event,1,66,No event,1,105,No event,1,27,No event,1
d_422,83,No event,2,5,No event,2,77,No event,2,124,No event,2,87,No event,2,8,No event,2,90,No event,2,153,No event,2,29,No event,2,0,No event,2,106,No event,2,82,No event,2,14,No event,2,69,No event,2,104,No event,2,40,No event,2
d_423,33,No event,3,4,No event,3,59,No event,3,97,No event,3,58,No event,3,6,No event,3,60,No event,3,89,No event,3,19,No event,3,18,No event,3,37,No event,3,52,No event,3,6,No event,3,50,No event,3,82,No event,3,30,No event,3
d_424,48,No event,4,5,No event,4,76,No event,4,74,No event,4,68,No event,4,5,No event,4,36,No event,4,72,No event,4,24,No event,4,35,No event,4,64,No event,4,60,No event,4,4,No event,4,40,No event,4,55,No event,4,26,No event,4
d_425,57,No event,5,3,No event,5,49,No event,5,52,No event,5,60,No event,5,7,No event,5,44,No event,5,84,No event,5,11,No event,5,6,No event,5,43,No event,5,38,No event,5,19,No event,5,30,No event,5,70,No event,5,22,No event,5
d_426,36,No event,6,0,No event,6,48,No event,6,67,No event,6,38,No event,6,13,No event,6,38,No event,6,67,No event,6,17,No event,6,23,No event,6,67,No event,6,29,No event,6,11,No event,6,20,No event,6,57,No event,6,25,No event,6
d_427,48,No event,7,8,No event,7,67,No event,7,67,No event,7,58,No event,7,4,No event,7,50,No event,7,106,No event,7,11,No event,7,31,No event,7,71,No event,7,44,No event,7,7,No event,7,50,No event,7,82,No event,7,21,No event,7
d_428,58,No event,1,4,No event,1,91,No event,1,91,No event,1,98,No event,1,13,No event,1,91,No event,1,169,No event,1,18,No event,1,25,No event,1,112,No event,1,23,No event,1,8,No event,1,26,No event,1,119,No event,1,36,No event,1
d_429,65,No event,2,8,No event,2,104,No event,2,140,No event,2,111,No event,2,2,No event,2,106,No event,2,167,No event,2,39,No event,2,21,No event,2,126,No event,2,5,No event,2,14,No event,2,0,No event,2,60,No event,2,38,No event,2
d_430,36,No event,3,11,No event,3,67,No event,3,59,No event,3,48,No event,3,15,No event,3,50,No event,3,88,No event,3,24,No event,3,24,No event,3,83,No event,3,25,No event,3,6,No event,3,42,No event,3,66,No event,3,34,No event,3
d_431,46,No event,4,12,No event,4,61,No event,4,51,No event,4,66,No event,4,10,No event,4,54,No event,4,100,No event,4,16,No event,4,32,No event,4,71,No event,4,16,No event,4,12,No event,4,36,No event,4,77,No event,4,36,No event,4
d_432,42,No event,5,7,No event,5,91,No event,5,62,No event,5,53,No event,5,8,No event,5,48,No event,5,109,No event,5,2,No event,5,15,No event,5,78,No event,5,21,No event,5,9,No event,5,25,No event,5,109,No event,5,15,No event,5
d_433,34,No event,6,4,No event,6,74,No event,6,75,No event,6,61,No event,6,5,No event,6,57,No event,6,112,No event,6,10,No event,6,47,No event,6,133,No event,6,30,No event,6,4,No event,6,46,No event,6,82,No event,6,19,No event,6
d_434,68,No event,7,9,No event,7,91,No event,7,93,No event,7,95,No event,7,7,No event,7,80,No event,7,141,No event,7,19,No event,7,13,No event,7,100,No event,7,15,No event,7,8,No event,7,63,No event,7,103,No event,7,26,No event,7
d_435,82,Before event,1,20,Before event,1,96,Before event,1,146,Before event,1,131,Before event,1,9,Before event,1,114,Before event,1,178,Before event,1,49,Before event,1,22,Before event,1,176,Before event,1,3,Before event,1,33,Before event,1,47,Before event,1,73,Before event,1,25,Before event,1
d_436,103,Easter,2,16,Easter,2,135,Easter,2,152,Easter,2,95,Easter,2,14,Easter,2,82,Easter,2,146,Easter,2,39,Easter,2,20,Easter,2,109,Easter,2,1,Easter,2,9,Easter,2,34,Easter,2,96,Easter,2,32,Easter,2
d_437,42,After event,3,5,After event,3,71,After event,3,48,After event,3,54,After event,3,6,After event,3,38,After event,3,86,After event,3,31,After event,3,35,After event,3,56,After event,3,6,After event,3,8,After event,3,38,After event,3,53,After event,3,29,After event,3
d_438,41,No event,4,7,No event,4,62,No event,4,163,No event,4,63,No event,4,6,No event,4,46,No event,4,91,No event,4,51,No event,4,13,No event,4,41,No event,4,31,No event,4,9,No event,4,47,No event,4,72,No event,4,33,No event,4
d_439,45,No event,5,7,No event,5,79,No event,5,55,No event,5,48,No event,5,5,No event,5,51,No event,5,95,No event,5,20,No event,5,30,No event,5,95,No event,5,46,No event,5,8,No event,5,45,No event,5,84,No event,5,21,No event,5
d_440,48,No event,6,4,No event,6,56,No event,6,46,No event,6,46,No event,6,7,No event,6,53,No event,6,106,No event,6,23,No event,6,42,No event,6,55,No event,6,54,No event,6,6,No event,6,51,No event,6,84,No event,6,23,No event,6
d_441,43,Before event,7,5,Before event,7,67,Before event,7,136,Before event,7,58,Before event,7,11,Before event,7,68,Before event,7,97,Before event,7,23,Before event,7,51,Before event,7,77,Before event,7,39,Before event,7,9,Before event,7,57,Before event,7,111,Before event,7,45,Before event,7
d_442,84,Pesach End,1,6,Pesach End,1,75,Pesach End,1,131,Pesach End,1,91,Pesach End,1,5,Pesach End,1,77,Pesach End,1,141,Pesach End,1,36,Pesach End,1,14,Pesach End,1,107,Pesach End,1,57,Pesach End,1,22,Pesach End,1,62,Pesach End,1,100,Pesach End,1,37,Pesach End,1
d_443,81,OrthodoxEaster,2,2,OrthodoxEaster,2,80,OrthodoxEaster,2,109,OrthodoxEaster,2,77,OrthodoxEaster,2,6,OrthodoxEaster,2,89,OrthodoxEaster,2,155,OrthodoxEaster,2,48,OrthodoxEaster,2,30,OrthodoxEaster,2,110,OrthodoxEaster,2,55,OrthodoxEaster,2,6,OrthodoxEaster,2,69,OrthodoxEaster,2,123,OrthodoxEaster,2,52,OrthodoxEaster,2
d_444,38,After event,3,5,After event,3,50,After event,3,82,After event,3,37,After event,3,6,After event,3,39,After event,3,68,After event,3,38,After event,3,14,After event,3,69,After event,3,16,After event,3,5,After event,3,26,After event,3,57,After event,3,44,After event,3
d_445,21,No event,4,2,No event,4,69,No event,4,45,No event,4,61,No event,4,7,No event,4,49,No event,4,76,No event,4,23,No event,4,25,No event,4,56,No event,4,10,No event,4,12,No event,4,38,No event,4,83,No event,4,35,No event,4
